EmployeeID,FirstName,LastName,DateOfJoining,DateOfBirth,Age,WorkLocation,DateOfLeaving,Salary,ManagerID,Department,ReasonForLeaving,Gender,JobRole,PerformanceRating,Attrition
E000001,Randall,Davis,2022-04-11,1981-11-06,43.0,Simonfurt,2023-02-06,66709.0,M0055,Operations,Relocation,Female,Engineer,1,Yes
E000002,Steven,Henry,2021-05-01,1970-09-14,54.0,East Lauren,2023-11-17,107054.0,M0035,It,Relocation,Female,Executive,3,Yes
E000003,Deborah,Brown,2021-05-17,1970-02-16,54.0,North Georgehaven,2022-03-18,94306.0,M0069,Operations,Resigned,Female,Engineer,4,Yes
E000004,Susan,Munoz,2023-12-06,1982-06-12,42.0,Davidstad,2024-12-29,50016.0,M0020,Operations,Retired,Female,Executive,2,Yes
E000005,Danielle,Swanson,2021-06-27,1981-07-11,43.0,Turnerport,2023-11-20,112828.0,M0071,Hr,Better Opportunity,Male,Analyst,2,Yes
E000006,Amanda,Wilson,2024-10-03,1974-07-24,50.0,Port Julie,2025-01-25,106145.0,M0108,Finance,Better Opportunity,Female,Executive,1,Yes
E000007,Erin,Moore,2022-05-03,1966-11-24,58.0,Jocelynhaven,2025-01-15,192504.0,M0014,Marketing,Health Issues,Female,Executive,5,Yes
E000008,Rebecca,Skinner,2023-07-17,1984-06-04,40.0,West Vincentburgh,2024-07-22,131930.0,M0033,Operations,Health Issues,Female,Manager,1,Yes
E000009,Kathryn,Ramirez,2023-12-21,1979-01-10,46.0,Herreramouth,2024-04-26,112828.0,M0077,It,Better Opportunity,Female,Executive,3,Yes
E000010,Christopher,Roman,2023-07-11,1977-10-13,47.0,Lake Sheliaview,2024-01-06,166688.0,M0056,Sales,Terminated,Female,Executive,5,Yes
E000011,Tiffany,Hobbs,2021-01-06,1965-04-18,59.0,Port Johnny,2025-10-03,113534.0,M0118,Operations,Retired,Male,Analyst,2,Yes
E000012,Jose,Logan,2024-08-24,1986-07-27,38.0,Alexisshire,2025-04-12,189964.0,M0070,Hr,Retired,Female,Executive,1,Yes
E000013,Gerald,Cummings,2021-10-15,1982-11-03,42.0,Lake Jessica,2024-02-16,108250.0,M0023,It,Resigned,Male,Engineer,5,Yes
E000014,James,Young,2023-11-16,1981-05-17,43.0,Port Jefferyfurt,2025-06-13,75113.0,M0018,Hr,Better Opportunity,Male,Consultant,4,Yes
E000015,John,Holmes,2024-02-11,1979-09-03,45.0,Lake Jessicachester,2025-11-27,149000.0,M0017,Sales,Relocation,Male,Manager,2,Yes
E000016,Michael,Fischer,2024-12-04,1989-03-25,35.0,Delgadoshire,2025-07-20,124383.0,M0115,Hr,Relocation,Male,Manager,1,Yes
E000017,Richard,Norton,2024-12-07,1984-04-17,40.0,New Charles,2025-05-17,112828.0,M0043,Finance,Health Issues,Male,Engineer,5,Yes
E000018,Lindsey,Murphy,2023-07-27,1995-02-06,29.0,New Calebmouth,2023-12-04,196860.0,M0076,Hr,Retired,Female,Analyst,3,Yes
E000019,Brooke,Hunter,2022-09-11,1966-03-30,58.0,Lake Kelly,2025-06-06,135271.0,M0038,Finance,Relocation,Female,Executive,3,Yes
E000020,Amanda,Lewis,2024-04-09,1971-09-04,53.0,West Suzanne,2024-07-23,88049.0,M0052,Sales,Retired,Female,Executive,1,Yes
E000021,Mason,Morales,2022-06-05,1975-01-13,50.0,Martinezburgh,2022-11-22,130949.0,M0086,Engineering,Retired,Female,Analyst,4,Yes
E000022,Danielle,Vazquez,2023-09-09,1984-05-26,40.0,West Matthew,2025-07-13,195292.0,M0053,Sales,Resigned,Female,Analyst,3,Yes
E000023,Julie,Medina,2021-01-27,1992-07-22,32.0,West Steventon,2024-05-08,107426.0,M0083,Hr,Better Opportunity,Female,Manager,1,Yes
E000024,Brian,Potter,2021-08-29,1968-03-31,56.0,Aguilarmouth,2023-06-08,126180.0,M0013,It,Health Issues,Male,Consultant,5,Yes
E000025,Troy,Collins,2021-08-16,1981-05-14,43.0,Sarahberg,2021-09-13,50795.0,M0039,Engineering,Health Issues,Female,Analyst,2,Yes
E000026,Maria,Lara,2023-10-30,1996-01-13,28.0,Stephenmouth,2025-10-12,46153.0,M0059,Engineering,Retired,Male,Analyst,3,Yes
E000027,Gregory,Palmer,2022-03-12,1980-03-11,44.0,Josehaven,2025-06-21,86305.0,M0007,Engineering,Retired,Female,Manager,1,Yes
E000028,Joe,Diaz,2024-08-28,1970-07-27,54.0,South Rachelhaven,2025-07-31,193272.0,M0030,Marketing,Retired,Female,Manager,4,Yes
E000029,Christopher,Patel,2023-08-14,1991-08-07,33.0,South Gregoryshire,2024-03-07,168857.0,M0032,Engineering,Better Opportunity,Male,Manager,3,Yes
E000030,Jason,Ferguson,2021-09-11,1980-05-06,44.0,South Luis,2022-05-11,168631.0,M0093,Hr,Resigned,Male,Executive,3,Yes
E000031,Jennifer,Flowers,2021-04-27,1969-04-05,55.0,Brianaberg,2023-02-25,30815.0,M0106,Finance,Retired,Female,Executive,3,Yes
E003392,Andrea,Mcmillan,2021-09-09,1988-03-22,36.0,New Vanessafort,2025-05-12,62334.0,M0010,Operations,Retired,Male,Consultant,1,Yes
E000033,Bethany,Brown,2022-07-25,1992-09-25,32.0,Christophershire,2024-11-25,171678.0,M0066,Engineering,Resigned,Female,Consultant,1,Yes
E000034,Melissa,Benton,2022-08-01,1987-09-30,37.0,North Shannon,2023-03-25,45000.0,M0067,Hr,Retired,Female,Executive,2,Yes
E000035,Kristin,Wilson,2024-08-11,2001-11-09,23.0,New Stacyberg,2025-09-02,181567.0,M0102,Engineering,Terminated,Female,Analyst,4,Yes
E000036,Stephen,Allen,2023-06-10,1989-03-11,34.0,Michelleborough,2023-07-31,104824.0,M0099,Marketing,Resigned,Female,Engineer,1,Yes
E000037,Jane,Luna,2022-12-11,1972-04-25,52.0,East Jamesside,2023-04-26,41295.0,M0082,Finance,Resigned,Male,Executive,4,Yes
E000038,Kristen,Tate,2023-08-25,1975-11-04,49.0,Shawnmouth,2025-11-02,126936.0,M0112,Finance,Retired,Female,Engineer,3,Yes
E000039,Nicholas,Cordova,2022-11-23,2000-04-13,25.0,East Justin,2025-08-30,186924.0,M0020,Hr,Better Opportunity,Female,Engineer,1,Yes
E000040,John,Reed,2023-03-19,1995-05-27,29.0,South Tina,2024-08-23,167425.0,M0010,Marketing,Relocation,Male,Manager,5,Yes
